parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,N.Senhora do Ó,2017-01-01,23,20,-,2017-01-01T22:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,24,13,-,2017-01-01T23:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-02,1,11,-,2017-01-02T00:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,2,25,-,2017-01-02T01:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,3,15,-,2017-01-02T02:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,4,12,-,2017-01-02T03:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,5,9,-,2017-01-02T04:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,6,9,-,2017-01-02T05:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,7,9,-,2017-01-02T06:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,8,15,-,2017-01-02T07:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,9,19,-,2017-01-02T08:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,10,18,-,2017-01-02T09:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,11,10,-,2017-01-02T10:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,12,15,-,2017-01-02T11:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,13,18,-,2017-01-02T12:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,14,11,-,2017-01-02T13:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,15,12,-,2017-01-02T14:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,16,25,-,2017-01-02T15:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,17,19,-,2017-01-02T16:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,18,29,-,2017-01-02T17:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,19,20,-,2017-01-02T18:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,20,15,-,2017-01-02T19:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,21,13,-,2017-01-02T20:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,22,6,-,2017-01-02T21:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,23,11,-,2017-01-02T22:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-02,24,17,-,2017-01-02T23:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-03,1,11,-,2017-01-03T00:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,2,19,-,2017-01-03T01:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,3,10,-,2017-01-03T02:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,4,15,-,2017-01-03T03:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,5,16,-,2017-01-03T04:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,6,22,-,2017-01-03T05:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,7,26,-,2017-01-03T06:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,8,26,-,2017-01-03T07:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,9,27,-,2017-01-03T08:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,10,28,-,2017-01-03T09:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,11,22,-,2017-01-03T10:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,12,41,-,2017-01-03T11:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,13,37,-,2017-01-03T12:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,14,18,-,2017-01-03T13:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,15,16,-,2017-01-03T14:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,16,25,-,2017-01-03T15:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,17,49,-,2017-01-03T16:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,18,37,-,2017-01-03T17:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,19,29,-,2017-01-03T18:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,20,21,-,2017-01-03T19:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,21,20,-,2017-01-03T20:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,22,11,-,2017-01-03T21:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,23,7,-,2017-01-03T22:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-03,24,12,-,2017-01-03T23:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-04,1,16,-,2017-01-04T00:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,2,19,-,2017-01-04T01:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,3,21,-,2017-01-04T02:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,4,14,-,2017-01-04T03:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,5,16,-,2017-01-04T04:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,6,22,-,2017-01-04T05:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,7,16,-,2017-01-04T06:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,8,15,-,2017-01-04T07:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,9,25,-,2017-01-04T08:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,10,14,-,2017-01-04T09:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,11,16,-,2017-01-04T10:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,12,11,-,2017-01-04T11:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,13,19,-,2017-01-04T12:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,14,11,-,2017-01-04T13:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,15,21,-,2017-01-04T14:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,16,19,-,2017-01-04T15:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,17,17,-,2017-01-04T16:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,18,21,-,2017-01-04T17:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,19,29,-,2017-01-04T18:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,20,29,-,2017-01-04T19:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,21,21,-,2017-01-04T20:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,22,30,-,2017-01-04T21:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,23,28,-,2017-01-04T22:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-04,24,20,-,2017-01-04T23:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-05,1,33,-,2017-01-05T00:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,2,29,-,2017-01-05T01:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,3,23,-,2017-01-05T02:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,4,21,-,2017-01-05T03:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,5,27,-,2017-01-05T04:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,6,25,-,2017-01-05T05:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,7,29,-,2017-01-05T06:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,8,25,-,2017-01-05T07:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,9,22,-,2017-01-05T08:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,10,21,-,2017-01-05T09:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,11,15,-,2017-01-05T10:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,12,20,-,2017-01-05T11:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,13,18,-,2017-01-05T12:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,14,17,-,2017-01-05T13:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,15,25,-,2017-01-05T14:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,16,40,-,2017-01-05T15:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,17,35,-,2017-01-05T16:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,18,24,-,2017-01-05T17:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,19,18,-,2017-01-05T18:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,20,14,-,2017-01-05T19:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,21,17,-,2017-01-05T20:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,22,18,-,2017-01-05T21:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,23,27,-,2017-01-05T22:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-05,24,25,-,2017-01-05T23:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-06,1,29,-,2017-01-06T00:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,2,23,-,2017-01-06T01:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,3,24,-,2017-01-06T02:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,4,16,-,2017-01-06T03:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,5,15,-,2017-01-06T04:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,6,15,-,2017-01-06T05:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,7,20,-,2017-01-06T06:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,8,15,-,2017-01-06T07:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,9,22,-,2017-01-06T08:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,10,27,-,2017-01-06T09:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,11,19,-,2017-01-06T10:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,12,30,-,2017-01-06T11:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,13,31,-,2017-01-06T12:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,14,26,-,2017-01-06T13:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,15,19,-,2017-01-06T14:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,16,23,-,2017-01-06T15:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,17,15,-,2017-01-06T16:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,18,17,-,2017-01-06T17:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,19,14,-,2017-01-06T18:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,20,7,-,2017-01-06T19:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,21,10,-,2017-01-06T20:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,22,9,-,2017-01-06T21:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,23,9,-,2017-01-06T22:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-06,24,11,-,2017-01-06T23:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-07,1,15,-,2017-01-07T00:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,2,9,-,2017-01-07T01:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,3,5,-,2017-01-07T02:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,4,7,-,2017-01-07T03:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,5,7,-,2017-01-07T04:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,6,9,-,2017-01-07T05:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,7,14,-,2017-01-07T06:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,8,6,-,2017-01-07T07:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,9,23,-,2017-01-07T08:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,10,15,-,2017-01-07T09:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,11,17,-,2017-01-07T10:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,12,18,-,2017-01-07T11:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,13,21,-,2017-01-07T12:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,14,20,-,2017-01-07T13:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,15,19,-,2017-01-07T14:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,16,26,-,2017-01-07T15:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,19,5,-,2017-01-07T18:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,20,26,-,2017-01-07T19:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,21,29,-,2017-01-07T20:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,22,34,-,2017-01-07T21:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,23,27,-,2017-01-07T22:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-07,24,29,-,2017-01-07T23:00:00Z,Sat
MP10,N.Senhora do Ó,2017-01-08,1,27,-,2017-01-08T00:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,2,24,-,2017-01-08T01:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,3,20,-,2017-01-08T02:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,4,17,-,2017-01-08T03:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,5,17,-,2017-01-08T04:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,6,20,-,2017-01-08T05:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,7,22,-,2017-01-08T06:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,8,18,-,2017-01-08T07:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,9,19,-,2017-01-08T08:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,10,22,-,2017-01-08T09:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,11,13,-,2017-01-08T10:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,12,9,-,2017-01-08T11:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,13,15,-,2017-01-08T12:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,14,8,-,2017-01-08T13:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,15,15,-,2017-01-08T14:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,16,19,-,2017-01-08T15:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,17,18,-,2017-01-08T16:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,18,22,-,2017-01-08T17:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,19,16,-,2017-01-08T18:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,20,20,-,2017-01-08T19:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,21,23,-,2017-01-08T20:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,22,23,-,2017-01-08T21:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,23,29,-,2017-01-08T22:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-08,24,21,-,2017-01-08T23:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-09,1,25,-,2017-01-09T00:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,2,25,-,2017-01-09T01:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,3,22,-,2017-01-09T02:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,4,23,-,2017-01-09T03:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,5,25,-,2017-01-09T04:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,6,26,-,2017-01-09T05:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,7,30,-,2017-01-09T06:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,8,18,-,2017-01-09T07:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,9,15,-,2017-01-09T08:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,10,11,-,2017-01-09T09:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,11,20,-,2017-01-09T10:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,12,14,-,2017-01-09T11:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,13,21,-,2017-01-09T12:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,14,18,-,2017-01-09T13:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,15,20,-,2017-01-09T14:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,16,25,-,2017-01-09T15:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,17,27,-,2017-01-09T16:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,18,24,-,2017-01-09T17:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,19,21,-,2017-01-09T18:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,20,32,-,2017-01-09T19:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,21,27,-,2017-01-09T20:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,22,2,-,2017-01-09T21:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,23,2,-,2017-01-09T22:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-09,24,4,-,2017-01-09T23:00:00Z,Mon
MP10,N.Senhora do Ó,2017-01-10,1,6,-,2017-01-10T00:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,2,4,-,2017-01-10T01:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,3,6,-,2017-01-10T02:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,4,9,-,2017-01-10T03:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,5,7,-,2017-01-10T04:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,6,8,-,2017-01-10T05:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,7,7,-,2017-01-10T06:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,8,9,-,2017-01-10T07:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,9,16,-,2017-01-10T08:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,10,14,-,2017-01-10T09:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,11,19,-,2017-01-10T10:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,12,16,-,2017-01-10T11:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,13,18,-,2017-01-10T12:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,14,59,-,2017-01-10T13:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,15,47,-,2017-01-10T14:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,16,14,-,2017-01-10T15:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,17,13,-,2017-01-10T16:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,18,10,-,2017-01-10T17:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,19,16,-,2017-01-10T18:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,20,17,-,2017-01-10T19:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,21,13,-,2017-01-10T20:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,22,14,-,2017-01-10T21:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,23,15,-,2017-01-10T22:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-10,24,24,-,2017-01-10T23:00:00Z,Tue
MP10,N.Senhora do Ó,2017-01-11,1,27,-,2017-01-11T00:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,2,20,-,2017-01-11T01:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,3,19,-,2017-01-11T02:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,4,17,-,2017-01-11T03:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,5,9,-,2017-01-11T04:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,6,18,-,2017-01-11T05:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,7,18,-,2017-01-11T06:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,8,19,-,2017-01-11T07:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,9,21,-,2017-01-11T08:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,10,22,-,2017-01-11T09:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,11,17,-,2017-01-11T10:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,12,18,-,2017-01-11T11:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,13,18,-,2017-01-11T12:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,14,14,-,2017-01-11T13:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,15,18,-,2017-01-11T14:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,16,25,-,2017-01-11T15:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,17,26,-,2017-01-11T16:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,18,27,-,2017-01-11T17:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,19,27,-,2017-01-11T18:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,20,22,-,2017-01-11T19:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,21,15,-,2017-01-11T20:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,22,10,-,2017-01-11T21:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,23,11,-,2017-01-11T22:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-11,24,9,-,2017-01-11T23:00:00Z,Wed
MP10,N.Senhora do Ó,2017-01-12,1,12,-,2017-01-12T00:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,2,17,-,2017-01-12T01:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,3,10,-,2017-01-12T02:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,4,12,-,2017-01-12T03:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,5,10,-,2017-01-12T04:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,6,13,-,2017-01-12T05:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,7,24,-,2017-01-12T06:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,8,19,-,2017-01-12T07:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,9,25,-,2017-01-12T08:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,10,26,-,2017-01-12T09:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,11,23,-,2017-01-12T10:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,12,24,-,2017-01-12T11:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,13,24,-,2017-01-12T12:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,14,5,-,2017-01-12T13:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,15,7,-,2017-01-12T14:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,16,12,-,2017-01-12T15:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,17,20,-,2017-01-12T16:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,18,11,-,2017-01-12T17:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,19,5,-,2017-01-12T18:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,20,12,-,2017-01-12T19:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,21,13,-,2017-01-12T20:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,22,9,-,2017-01-12T21:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,23,5,-,2017-01-12T22:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-12,24,11,-,2017-01-12T23:00:00Z,Thu
MP10,N.Senhora do Ó,2017-01-13,1,13,-,2017-01-13T00:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,2,15,-,2017-01-13T01:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,3,12,-,2017-01-13T02:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,4,7,-,2017-01-13T03:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,5,14,-,2017-01-13T04:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,6,14,-,2017-01-13T05:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,7,12,-,2017-01-13T06:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,8,10,-,2017-01-13T07:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,9,18,-,2017-01-13T08:00:00Z,Fri
MP10,N.Senhora do Ó,2017-01-13,10,12,-,2017-01-13T09:00:00Z,Fri
